사업장명,소재지전화,소재지전체주소,좌표정보(x),좌표정보(y)
창무키즈태권도,054-974-1471,경상북도 칠곡군 왜관읍 왜관리 281-204번지,325945.581915341,277249.228242382
오성태권도,054-971-9045,경상북도 칠곡군 석적읍 중리 221-22번지,327625.067712149,287013.142727341
인평태권도체육관,054-974-9748,경상북도 칠곡군 북삼읍 인평리 656-6번지,320364.439652768,286463.882527017
MTA 태권도,054-975-6252,경상북도 칠곡군 북삼읍 인평리 1031-13,321609.278125015,286261.125596568
강용1체육관,054-975-8997,경상북도 칠곡군 왜관읍 왜관리 777-21번지,326107.378482523,276944.763760963
나영철복싱클럽,054-971-0013,경상북도 칠곡군 왜관읍 왜관리 276-1번지,326011.386599704,277528.896383573
고려 익스트림 태권도장,054-976-0111,경상북도 칠곡군 석적읍 남율리 764번지,325480.397901096,286543.128778518
대교 태권도장,054-977-7319,경상북도 칠곡군 석적읍 남율리 599-4번지,325839.118698006,287114.435662512
남율 챔피언 태권도장,054-974-8770,경상북도 칠곡군 석적읍 남율리 172-5,326305.0,285878.0
중앙석사태권도,054-977-0058,경상북도 칠곡군 석적읍 중리 142-3번지,327212.083198433,287350.827074691
계명대 힘찬 태권스쿨,054-975-1316,경상북도 칠곡군 북삼읍 숭오리 26-2번지,320122.559051408,285792.701809578
금빛성무태권도장,054-976-0698,경상북도 칠곡군 왜관읍 왜관리 331-4번지,326284.546663956,277201.236546348
국송검도관,054-974-0010,경상북도 칠곡군 북삼읍 숭오리 26-8,320132.537036023,285802.354662649
성무체육관,054-975-0006,경상북도 칠곡군 약목면 복성리 972-18번지,323006.623524557,282288.436289195
사영광호림태권도장,054-655-7891,경상북도 예천군 예천읍 동본리 466-7번지 남해화학비료예천대리점,330546.258270058,351702.993942463
경신 태권도장,463-1733,경상북도 구미시 사곡동 503-2번지 상모사곡화성파크드림 상가동 301호,321947.175720957,289478.17252682
경북대드림태권도장,464-5995,경상북도 구미시 상모동 275-4번지,321683.312056663,288290.928063188
천지인 태권도장,471-4464,경상북도 구미시 인의동 992-11 2층,329006.061187855,289396.964462449
연세 필 태권도장,465-9981,경상북도 구미시 상모동 66-1번지 3층,322247.247024535,288600.720303433
보라매태권도장,458-0973,경상북도 구미시 형곡동 346-1번지 3층,320218.883032,290116.007701242
미르태권도장,451-5978,경상북도 구미시 형곡동 187번지 4층,320478.579245872,290637.348571502
신신키즈태권도,473-8899,"경상북도 구미시 구평동 1087번지 구평 영무예다음 상가 114동 201호,202호",330325.14594947,288880.543327958
상승체육관,0544525832,경상북도 구미시 송정동 3번지 푸르지오캐슬A단지아파트 상가동 302호,320539.052621192,292245.930953884
영무유도관 송정점,444-3705,경상북도 구미시 송정동 35-4 지하 1층,320791.879620568,291862.123028475
MK태권도장,476-5533,경상북도 구미시 옥계동 906번지 우미린 상가동 204호,328394.286480517,294418.398624046
경북대 동부태권도,473-7008,"경상북도 구미시 옥계동 909번지 현진에버빌 상가동 214호,215호",328226.168358354,294168.080748279
MTA태권도장,451-0150,"경상북도 구미시 송정동 3번지 푸르지오캐슬A단지 307호,308호",320539.052621192,292245.930953884
나라찬 키즈스포츠짐,054-971-1044,경상북도 칠곡군 왜관읍 왜관리 301-1번지,326196.135095917,277135.287923771
계명대 슈퍼맨 태권도장,054-920-8008,경상북도 칠곡군 석적읍 중리 170-4번지,326308.881657535,287095.486794807
계명대 캡틴 태권도장,054-977-8446,경상북도 칠곡군 석적읍 남율리 1290번지,326453.406220844,286225.107650576
제일태권도장,054-973-0969,경상북도 칠곡군 북삼읍 인평리 1031-1번지,321592.767746153,286321.913136292
강한아이태권도장,453-3357,경상북도 구미시 형곡동 137-1,319864.7619729,291286.37629638
엘리트 태권스쿨,444-0980,경상북도 구미시 도량동 90번지,318973.488969625,294737.981536304
계명석사태권도장,463-5998,"경상북도 구미시 사곡동 697-1 보성황실타운1차 상가 201동 401호,402호",322091.735961428,289037.510984632
MVP합기도,465-2883,경상북도 구미시 사곡동 657-1,322437.655571496,289773.660429051
허리케인권투체육관,474-8757,경상북도 구미시 진평동 79-7,328533.466325824,289230.86805148
블랙 벨트 태권도장,444-5501,경상북도 구미시 봉곡동 166-8,317872.074993258,295657.973655145
황상체육관,473-0165,경상북도 구미시 황상동 199-1번지,328405.987603093,291728.328190952
부광체육관,4619919,경상북도 구미시 공단동 251번지 파라디아아파트,324554.846232316,290023.252459005
태권마루 태권도장,475-3737,경상북도 구미시 인의동 657-3,328709.476539055,289765.879173996
계명대엘리트태권도장,455-3966,경상북도 구미시 도량동 225-1번지,318379.738328731,294041.54788293
형곡부광태권도장,452-9567,경상북도 구미시 형곡동 140-3번지,319866.966717174,291176.726213786
MTA태양태권도장,472-4797,경상북도 구미시 황상동 118,328743.700033372,291936.431642417
홍익태권도장,443-7786,경상북도 구미시 도량동 227-2,318486.940179467,294016.141491926
한국태권도장,472-4220,경상북도 구미시 진평동 40-6,327946.70455557,289511.671334619
대한태권도장,476-1666,경상북도 구미시 옥계동 834-1번지 옥계메디컬센터 602호,327879.875811743,293992.702492907
예천검도관,054-652-5755,경상북도 예천군 예천읍 대심리 57-57번지,329089.195392946,350945.307128252
용인대박사백호태권도장,054-652-0952,경상북도 예천군 예천읍 대심리 71번지,328946.721701069,350783.547039322
태사랑 태권도장,054-654-1211,경상북도 예천군 호명면 산합리 1412번지 에비뉴타워,333257.631238347,342744.673758277
정도관,442-1133,경상북도 구미시 도량동 7,318963.093111814,295370.0825547
우정태권도장,474-6686,경상북도 구미시 황상동 191-4번지,328537.254077662,291782.449778168
신세계태권도장,464-2522,경상북도 구미시 상모동 77-1 신세계1단지 801동 201호,322157.209091279,287967.874956971
계명MTA태권도장,443-9567,경상북도 구미시 고아읍 원호리 444-7,319716.283715511,295233.19619364
아이태권,454-9981,경상북도 구미시 송정동 3 푸르지오캐슬A단지 상가동 411호,320539.052621192,292245.930953884
라온태권도장,475-0099,경상북도 구미시 옥계동 635-5 청아빌딩 5층,327405.062653339,293989.360282624
구미검도관,464-2922,경상북도 구미시 사곡동 657-1번지,322437.655571496,289773.660429051
성심검도관,455-1655,경상북도 구미시 형곡동 145-24번지,320280.782068937,290932.235673821
MTA태성태권도장,463-0889,"경상북도 구미시 임은동 818번지 코오롱하늘채상가 301동 206호,207호,208호",322997.861039551,288109.74367977
경무태권도 인성교육관,444-8878,경상북도 구미시 고아읍 문성리 1098번지 경남아너스빌 상가 2층,320787.361503842,296681.414100165
푸르지오 태권도,442-8801,경상북도 구미시 고아읍 원호리 199-1번지,320023.515795213,296150.501526076
우석태권도,444-3111,경상북도 구미시 봉곡동 387-9번지,318363.84713845,295255.312271241
실로암태권도,464-8448,경상북도 구미시 상모동 65-1번지,322163.294976744,288357.100894729
아이태권 옥계태권도장,474-6705,경상북도 구미시 옥계동 555번지 2층,327400.962296891,295019.521230312
형곡 힘찬청운태권도장,458-4877,경상북도 구미시 형곡동 169-9번지 상가동 402호,320311.388556204,290698.987725106
영남대석사태권도스쿨,476-5525,경상북도 구미시 옥계동 632-1 2층,327414.575374391,294049.808398374
아이탑 태권도장2,457-6778,경상북도 구미시 봉곡동 131-10번지,317488.612636964,295910.020520299
아이태권 해마루태권도장,054-444-7876,경상북도 구미시 옥계동 922,328813.585581051,294048.002127854
비산태권도체육관,054-463-2211,경상북도 구미시 비산동 103-1 202호,324182.811438403,292042.996219318
계명대 리틀타이거 태권도장,463-0600,경상북도 구미시 신평동 96-13번지,322740.504372051,292195.895032617
태풍태권도장,054-442-4888,경상북도 구미시 도량동 228-5,318450.992218473,293960.097201688
현진키즈태권도,054-444-9799,경상북도 구미시 도량동 227-4,318481.677721781,293993.713671246
월드태권도장,465-8787,경상북도 구미시 오태동 755-1번지,321615.96319924,286348.19244865
태백태권도,441-3030,경상북도 구미시 고아읍 원호리 444-8번지,319718.130637275,295209.70597483
푸름태권스쿨,462-1118,"경상북도 구미시 상모동 72번지 화성파크프레지던트 상가 104동 201호,202호",322111.87455873,288154.790730568
송정체육관,458-6337,경상북도 구미시 송정동 39-1번지,321030.32415077,292066.755700254
경진태권도장,475-6163,경상북도 구미시 옥계동 560,327396.063770334,294968.749864234
경일태권도,475-8655,경상북도 구미시 옥계동 543번지,327183.535351856,295067.302618761
중앙키즈태권도체육관,452-8733,경상북도 구미시 형곡동 151-9번지,320092.032075798,290875.553873136
금호무술(권투),462-1744,경상북도 구미시 사곡동 267-53번지,322472.708455766,289349.902755585
봉곡태권도장,444-1444,경상북도 구미시 봉곡동 391 현대상가 301호,318522.615487555,295255.858676658
형곡태권도체육관,458-5080,경상북도 구미시 형곡동 285-14번지,320013.80576638,290517.634496667
구평태권도전문체육관,475-4632,경상북도 구미시 구평동 449-8번지,329056.792912309,288978.981522137
천일태권도,054-482-1529,경상북도 구미시 고아읍 관심리 627-1,319508.981862736,302003.824794076
해동검도신평본관,054-462-2111,경상북도 구미시 신평동 134,322559.970401475,292358.40870311
대성태권도,464-4619,"경상북도 구미시 사곡동 656-9번지 보성2차 상가3층 301호,302호",322417.375132816,289872.152245782
다산한양태권도체육관,955-9756,경상북도 고령군 다산면 상곡리 150-1번지 금류2차아파트상가 301호,330550.591149949,259579.736767175
계명대 정관장 태권도장,955-7939,경상북도 고령군 대가야읍 쾌빈리 381-2번지,314801.410547227,248818.037445771
경성태권도,055-941-1377,경상남도 거창군 거창읍 대동리 997-2 경성태권도,283549.079446825,244077.190349299
거창용인대체육관,943-8444,경상남도 거창군 거창읍 중앙리 326-8번지,282419.109218193,243614.680835727
능포 상무태권도장,681-8409,경상남도 거제시 능포동 714-5번지 한려상가 3층,358237.634993291,154234.842611358
아림태권도E스쿨,944-4438,경상남도 거창군 거창읍 대동리 75-9번지,283200.45768167,243630.570290302
해동검도거창도장,944-5923,경상남도 거창군 거창읍 대동리 67-3번지,283139.686904833,243758.606821881
나운해성태권도,055-943-8259,경상남도 거창군 위천면 장기리 371-1번지,275442.236268619,250807.913717764
상동 무한도전태권도,635-4703,경상남도 거제시 상동동 72-2 301호,349603.432809584,152925.480919059
옥포가온누리태권도,687-1410,경상남도 거제시 옥포동 1274번지 옥포5차덕산타운 11동 303호,354020.063437806,157225.3229137
거제검도관,637-2660,경상남도 거제시 장평동 58-11,347591.313153431,155848.687022158
동아대 수월태권도,637-2408,경상남도 거제시 수월동 1092-2번지 3층,350085.212843685,155986.686248336
소나무향기 태권도,635-7105,"경상남도 거제시 고현동 1053번지 고려6차상가 301,302,303호",349111.752781858,156162.302456958
무림태권도장,636-3754,경상남도 거제시 장평동 234-3번지 2층,347050.885925348,155868.161502252
신성검도관,688-4119,경상남도 거제시 장승포동 291-6 현대상가 3층,357990.976019708,153534.180153264
경남체육관,635-5477,경상남도 거제시 고현동 822-28번지,348141.746489405,155481.548536966
지성체육관,637-7165,경상남도 거제시 장평동 247번지 제니스타운 106동 205~6호,346923.512611822,155727.174436651
중곡무한도전태권도장,633-6965,경상남도 거제시 고현동 1062번지 307~308호,349410.236197047,156594.814894221
인성태권도체육관,535-0682,전라북도 정읍시 수성동 1017-8번지,187402.367575,231507.158369
천하 스포츠 아카데미,063-323-2544,전라북도 무주군 무주읍 읍내리 299,259609.764047,278842.178899
한국체대 반딧불 태권도장,063-322-0070,전라북도 무주군 설천면 소천리 790-3번지,271191.193472,278834.043766
신태인 태권도장,571-3838,전라북도 정읍시 신태인읍 신태인리 228-32번지 새마을금고,189700.835881,243225.68953
용인대 정무태권도장,533-1444,전라북도 정읍시 상동 182-9번지,188416.119988,228875.344798
건국대 동신태권도 체육관,532-9937,전라북도 정읍시 상동 82번지 우미타운아파트 상가 3층 303호,188528.455427,228849.97201
아중파워복싱,063-247-1156,전라북도 전주시 덕진구 우아동2가 875-2번지 3층,215098.175725,259176.360602
용인대 현대태권도,063-275-7755,전라북도 전주시 덕진구 송천동1가 우림아파트 상가 2층,211269.888089,262402.844046
블랙벨트월드 태권도체육관,063-288-8383,전라북도 전주시 완산구 동서학동 290-3번지 거산황궁아파트 상가2동201호(2층),213766.349525,256109.968192
한양대 전북 체육관,063-243-1419,전라북도 완주군 소양면 황운리 645-7번지,221122.022464,261788.896662
블로우핏,291-3952,전라북도 완주군 삼례읍 삼례리 1407-20번지,206378.948104,267753.288174
이서태권도장,222-6201,전라북도 완주군 이서면 상개리 538번지,202084.971493,257795.896866
삼례종합체육관,291-1112,전라북도 완주군 삼례읍 삼례리 898-7번지,206685.586143,267882.029826
완주체육관,262-5574,전라북도 완주군 고산면 읍내리 173-2번지,219112.17246,274866.702434
삼례경희대태권도,291-7072,전라북도 완주군 삼례읍 삼례리 307-1,207035.223849,268621.924013
케이탑태권도,241-9303,전라북도 완주군 봉동읍 장기리 273 봉동2차 명진로얄아파트 201호,214540.44171,270630.519436
코리아태권도체육관,246-0043,전라북도 전주시 덕진구 인후동1가 849-7번지,214863.734721,259399.646098
백마체육관,063-245-6800,전라북도 전주시 덕진구 인후동1가 574 선변@상가 301호,213611.997938,259722.852145
비호태권도체육관,063-242-2214,전라북도 전주시 덕진구 인후동1가 755-9번지,213958.725798,260111.117626
경희대부부태권도체육관,229-3033,전라북도 전주시 완산구 평화동1가 734-6번지,211979.122735,254789.889669
태권도 장수체육관,063-351-3377,전라북도 장수군 장수읍 장수리 477번지,246941.877564,238810.84062
용인대태권도 청우체육관,063-243-2242,전라북도 전주시 덕진구 호성동1가 829-4번지 진흥더불파크@ 상가304호,213389.565422,262442.171541
정호 태권도교육관,246-5622,전라북도 전주시 덕진구 인후동1가 850-10번지 (3층),215019.120871,259439.769061
원광태권도체육관,063-237-4004,전라북도 전주시 완산구 삼천동1가 585-3번지 세경아파트 상가동 302호,211007.457417,255484.378362
명지 검도관,063-274-0090,전라북도 전주시 덕진구 송천동1가 395-23번지,210860.566625,261950.254882
이지태권도,285-4636,전라북도 전주시 덕진구 덕진동2가 694-3 리더빌딩 201호,209966.920536,260121.668308
전인태권도교육관,211-7208,전라북도 전주시 덕진구 동산동 707-5번지,206909.648892,263283.102215
라이온 태권도장,278-9889,전라북도 전주시 완산구 효자동2가 1313-9번지 202호,208625.667717,256562.169465
스타 체육관,214-7330,전라북도 전주시 완산구 중앙동2가 25번지,212919.011261,257488.703785
용인대 미래 태권도,063-241-0901,전라북도 전주시 덕진구 인후동1가 951-2번지 제일2차@ 상가 202호,215123.865228,258422.909771
시드니 킴스 태권도 아카데미,229-8261,전라북도 전주시 완산구 효자동3가 1609-15번지,209470.249787,258603.87523
정읍유도교실,063-537-2648,전라북도 정읍시 수성동 960-14,186809.512353,230837.040866
국일체육관,531-1609,전라북도 정읍시 칠보면 시산리 587-3,199332.316797,233633.727124
승일 체육관,063-247-3764,전라북도 전주시 덕진구 호성동1가 731-4번지 신동아1차@ 203호,213789.552091,261769.816067
용인대지곡태권도스쿨,225-2242,전라북도 전주시 완산구 평화동2가 893-3번지,211930.241123,254053.860942
동인태권도 예절관,063-245-1795,전라북도 전주시 덕진구 호성동1가 902번지,213696.193577,261997.524749
강호체육관,532-7718,전라북도 정읍시 장명동 140-6,187388.782889,229606.328019
한백태권도장,532-0385,전라북도 정읍시 상동 83-2번지,188544.997353,228909.090081
초원체육관,535-4470,전라북도 정읍시 연지동 259-47,185971.025686,230109.062142
도담 태권도,227-8580,전라북도 전주시 완산구 평화동2가 712-8 상가동 301호,210602.714077,254542.312698
이루 태권도,063-226-4336,전라북도 전주시 완산구 삼천동1가 667-5번지,211187.417477,255038.412678
중앙태권도,232-1050,전라북도 전주시 완산구 경원동2가 28-1번지,213497.461489,257562.518956
경희대 올림픽태권도 체육관,273-4585,전라북도 전주시 완산구 서신동 961번지 한일동아아파트상가 201호,210569.056552,259585.480334
우석대 태권도교육관,225-2828,전라북도 전주시 완산구 중화산동2가 256번지 우성아파트상가 1동 203호,211317.547578,257613.251914
용인대사랑태권도장,227-5452,전라북도 전주시 완산구 삼천동1가 722-2번지 삼천하이츠아파트상가 107동 202호,210126.920579,255643.986225
경희대 문무 태권도장,063-225-6004,전라북도 전주시 완산구 효자동1가 662-5번지 2층,210257.988272,255619.884621
용인대스타태권도,063-274-6669,전라북도 전주시 덕진구 송천동1가 382-1 벽란도,210687.159096,261773.870865
경희대석사태권도장,229-1472,전라북도 전주시 완산구 효자동2가 1313-5번지 3층 301호,208716.485712,256587.451717
효경석사태권도,227-8850,전라북도 전주시 완산구 중화산동2가 616-15번지,210626.570231,257331.002721
김지영복싱GYM,255-2212,전라북도 전주시 완산구 서신동 964-3번지 완풍빌딩 6층,210418.132493,259446.96435
신창용 태권도교실,274-1177,전라북도 전주시 완산구 서신동 963-3번지 2층,210373.073947,259447.523809
동아 블랙벨트 태권도장,246-6788,전라북도 전주시 덕진구 인후동1가 1033번지 위브어울림아파트 후문 상가,213806.87922,260155.091796
국가대표 비전 서남 태권도장,271-6370,전라북도 전주시 완산구 서신동 764-1번지 남양대명아파트상가 110동 202호,210304.352367,259209.839052
무궁화검도관,247-2727,전라북도 전주시 덕진구 호성동1가 785-4번지,213783.693914,262202.946683
승리 태권도체육관,063-253-0588,전라북도 전주시 덕진구 송천동2가 1272번지,211098.587551,262971.732872
화산체육관,287-7651,전라북도 전주시 완산구 중화산동2가 44-6번지,211527.309871,256744.905803
용인대박사청룡태권도,063-236-8886,전라북도 전주시 완산구 효자동3가 1667-7번지,209093.625293,257905.422014
참피온복싱,063-225-8185,전라북도 전주시 완산구 효자동2가 202-2번지,209713.89163,256019.429915
용인대 박사 태권도장,063-285-8850,전라북도 전주시 완산구 중노송동 722-9번지 (1층),213480.493572,258685.601634
용인대우리태권도장,063)244-7700,전라북도 전주시 덕진구 인후동1가 588-5번지,213787.41061,259709.232402
한국경호송천수련원,063-255-5711,전라북도 전주시 덕진구 송천동2가 212-1번지 4층,211398.004268,262922.27351
리라태권도,063-252-4288,전라북도 전주시 덕진구 송천동1가,211486.849646,262484.834202
경희대 비트짐 태권도,063-283-7788,전라북도 전주시 완산구 효자동2가 1317-5번지,209156.91316,256565.148928
관우검도관,252-3332,전라북도 전주시 덕진구 송천동1가 137-69번지,211303.233679,262325.589475
승일 태권도체육관,063-212-0340,전라북도 전주시 덕진구 여의동 669번지 제일아파트 상가 3동 201호,206931.005328,263042.922313
고려대 해성체육관,272-5096,전라북도 전주시 덕진구 송천동2가 277-1번지 3층,211443.493493,263080.819607
용인대 블랙벨트 태권도장,063-271-6674,전라북도 전주시 완산구 효자동3가 1473-3번지,208855.190865,259135.893103
해동검도전주본관,063-254-0790,전라북도 전주시 덕진구 진북동 434-84번지,211891.804306,258766.91931
T-Master 연화태권도장,063-243-6691,전라북도 전주시 덕진구 우아동2가 875-1,215100.409804,259215.746484
용인대 오륜태권도,222-7206,전라북도 전주시 완산구 평화동2가 230-68번지,211991.779786,254545.704349
궁전 태권도교육관,221-9555,전라북도 전주시 완산구 평화동2가 943번지 상가2층 203호,212397.04373,253993.274507
덕일체육관,063-272-6003,전라북도 전주시 덕진구 덕진동2가 120-7번지,210139.319451,260970.773516
화랑체육관,063-642-3165,전라북도 임실군 임실읍 이도리 696-3,225291.264303,234962.102497
경희대 서곡 태권도장,273-6655,"전라북도 전주시 완산구 효자동3가 1483-1번지 청솔아파트상가 3-8, 3-9호",208921.046786,259081.882002
중산상무태권도,224-7849,전라북도 전주시 완산구 중화산동2가 406-15번지 4층,210590.699139,257420.10719
지인회태권도장,063-254-7171,전라북도 전주시 덕진구 진북동 1024-13,212071.543996,258541.308886
호남종합체육관,063-254-0327,전라북도 전주시 덕진구 진북동 361-1,212671.952174,258878.041803
대한유도관,063-277-3949,전라북도 전주시 덕진구 송천동1가 258-9번지,210918.226395,261490.781601
효자체육관,063-222-8380,전라북도 전주시 완산구 효자동1가 636-1번지 상가2층4호,210886.340558,256544.62212
보라태권도,252-6540,전라북도 전주시 완산구 서신동 798-10,210073.278494,258951.584461
우슈체육관,06-253-2508,전라북도 전주시 덕진구 우아동3가 594-10번지,213962.021406,261652.087113
전북체육관,063-251-2930,전라북도 전주시 덕진구 인후동2가 236-18번지,213127.32983,259228.120226
숭의검도관,063-224-8111,전라북도 전주시 덕진구 호성동1가 792-2번지,213816.00239,262111.631997
태권도덕진체육관,063-254-5231,전라북도 전주시 덕진구 덕진동1가 1275-15번지,211176.01102,260267.028341
천지태권도체육관,063-251-2356,전라북도 전주시 덕진구 송천동2가 565-4번지,210115.857372,262795.178385
부영체육관,0632455355,전라북도 전주시 덕진구 인후동1가 805-2번지,214618.526698,259388.562434
경희대 대영 태권도장,063-242-9085,전라북도 전주시 덕진구 인후동1가 918-1번지 부영6차 상가 301호,214997.803973,258639.425444
한들태권도체육관,226-3564,전라북도 전주시 완산구 중화산동2가 817-7번지,210335.570035,257955.757084
올바른 성장 태권도,063-245-1795,전라북도 전주시 덕진구 우아동3가 594-23번지,213981.574683,261689.282357
박원규 복싱클럽,063-228-1194,전라북도 전주시 완산구 효자동1가 547번지,210840.993316,256211.724495
한국 태권도장,222-2372,전라북도 전주시 완산구 삼천동1가 290-8,210187.648949,254930.134878
무궁화JUPLISH유도관,255-6505,전라북도 전주시 완산구 서신동 281-61번지,210976.161104,258779.472237
세기태권도전문체육관,063-242-5484,전라북도 전주시 덕진구 인후동1가 890-1번지,214832.888012,258881.73924
언더독 복싱,063-228-7808,전라북도 전주시 완산구 효자동3가 1534-5,209694.340509,257331.962499
슈퍼스타 태권도,063-225-9855,전라북도 전주시 완산구 효자동2가 1313-4번지,208748.537485,256594.31809
승일 점프 스쿨,063-214-3764,전라북도 전주시 덕진구 우아동3가 744-4번지,214036.096747,261192.845077
현대석사태권도,063-212-0638,전라북도 전주시 덕진구 반월동 234-144번지 대창하이빌 상가,206405.128004,263829.386112
드림태권도,063-227-3617,전라북도 전주시 완산구 효자동2가 93-1번지,209598.666133,256701.80504
경희대 박사 태권도,0632746691,전라북도 전주시 덕진구 금암동 1559-1번지 2층,212413.733219,259798.874127
정환 검도관,063-253-3339,전라북도 전주시 덕진구 덕진동2가 675-5번지 3층,209818.969479,260297.390131
계백태권도체육관,241-9225,전라북도 전주시 덕진구 호성동1가 732-1번지 402호,213717.091709,261794.062596
엘리트 체육관,252-4523,전라북도 전주시 완산구 서신동 761-1번지 광진아파트상가 2동 203호,209686.852166,259290.872076
상무태권도체육관,063-245-7849,전라북도 전주시 덕진구 인후동1가 890-3번지 상가 108동 202호,215082.669021,258857.103566
승일태권도장,063-245-7736,전라북도 전주시 덕진구 인후동1가 855-3번지,214707.078772,259110.803084
한국체대 박사 태권도체육관,063-255-0244,전라북도 전주시 덕진구 진북동 434-48번지 2층,211930.750166,259154.539476
용인대 나라찬 태권도,237-1881,전라북도 전주시 완산구 평화동2가 909-1번지,211970.080818,253706.469913
