사업장명,소재지전화,소재지전체주소
아이태권,454-9981,경상북도 구미시 송정동 3 푸르지오캐슬A단지 상가동 411호
라온태권도장,475-0099,경상북도 구미시 옥계동 635-5 청아빌딩 5층
구미검도관,464-2922,경상북도 구미시 사곡동 657-1번지
성심검도관,455-1655,경상북도 구미시 형곡동 145-24번지
MTA태성태권도장,463-0889,"경상북도 구미시 임은동 818번지 코오롱하늘채상가 301동 206호,207호,208호"
경무태권도 인성교육관,444-8878,경상북도 구미시 고아읍 문성리 1098번지 경남아너스빌 상가 2층
푸르지오 태권도,442-8801,경상북도 구미시 고아읍 원호리 199-1번지
우석태권도,444-3111,경상북도 구미시 봉곡동 387-9번지
실로암태권도,464-8448,경상북도 구미시 상모동 65-1번지
아이태권 옥계태권도장,474-6705,경상북도 구미시 옥계동 555번지 2층
형곡 힘찬청운태권도장,458-4877,경상북도 구미시 형곡동 169-9번지 상가동 402호
영남대석사태권도스쿨,476-5525,경상북도 구미시 옥계동 632-1 2층
아이탑 태권도장2,457-6778,경상북도 구미시 봉곡동 131-10번지
아이태권 해마루태권도장,054-444-7876,경상북도 구미시 옥계동 922
비산태권도체육관,054-463-2211,경상북도 구미시 비산동 103-1 202호
계명대 리틀타이거 태권도장,463-0600,경상북도 구미시 신평동 96-13번지
태풍태권도장,054-442-4888,경상북도 구미시 도량동 228-5
현진키즈태권도,054-444-9799,경상북도 구미시 도량동 227-4
월드태권도장,465-8787,경상북도 구미시 오태동 755-1번지
태백태권도,441-3030,경상북도 구미시 고아읍 원호리 444-8번지
푸름태권스쿨,462-1118,"경상북도 구미시 상모동 72번지 화성파크프레지던트 상가 104동 201호,202호"
송정체육관,458-6337,경상북도 구미시 송정동 39-1번지
경진태권도장,475-6163,경상북도 구미시 옥계동 560
경일태권도,475-8655,경상북도 구미시 옥계동 543번지
중앙키즈태권도체육관,452-8733,경상북도 구미시 형곡동 151-9번지
금호무술(권투),462-1744,경상북도 구미시 사곡동 267-53번지
봉곡태권도장,444-1444,경상북도 구미시 봉곡동 391 현대상가 301호
형곡태권도체육관,458-5080,경상북도 구미시 형곡동 285-14번지
구평태권도전문체육관,475-4632,경상북도 구미시 구평동 449-8번지
천일태권도,054-482-1529,경상북도 구미시 고아읍 관심리 627-1
해동검도신평본관,054-462-2111,경상북도 구미시 신평동 134
대성태권도,464-4619,"경상북도 구미시 사곡동 656-9번지 보성2차 상가3층 301호,302호"
다산한양태권도체육관,955-9756,경상북도 고령군 다산면 상곡리 150-1번지 금류2차아파트상가 301호
계명대 정관장 태권도장,955-7939,경상북도 고령군 대가야읍 쾌빈리 381-2번지
경성태권도,055-941-1377,경상남도 거창군 거창읍 대동리 997-2 경성태권도
거창용인대체육관,943-8444,경상남도 거창군 거창읍 중앙리 326-8번지
능포 상무태권도장,681-8409,경상남도 거제시 능포동 714-5번지 한려상가 3층
아림태권도E스쿨,944-4438,경상남도 거창군 거창읍 대동리 75-9번지
해동검도거창도장,944-5923,경상남도 거창군 거창읍 대동리 67-3번지
나운해성태권도,055-943-8259,경상남도 거창군 위천면 장기리 371-1번지
상동 무한도전태권도,635-4703,경상남도 거제시 상동동 72-2 301호
옥포가온누리태권도,687-1410,경상남도 거제시 옥포동 1274번지 옥포5차덕산타운 11동 303호
거제검도관,637-2660,경상남도 거제시 장평동 58-11
동아대 수월태권도,637-2408,경상남도 거제시 수월동 1092-2번지 3층
소나무향기 태권도,635-7105,"경상남도 거제시 고현동 1053번지 고려6차상가 301,302,303호"
무림태권도장,636-3754,경상남도 거제시 장평동 234-3번지 2층
신성검도관,688-4119,경상남도 거제시 장승포동 291-6 현대상가 3층
경남체육관,635-5477,경상남도 거제시 고현동 822-28번지
지성체육관,637-7165,경상남도 거제시 장평동 247번지 제니스타운 106동 205~6호
중곡무한도전태권도장,633-6965,경상남도 거제시 고현동 1062번지 307~308호
인성태권도체육관,535-0682,전라북도 정읍시 수성동 1017-8번지
천하 스포츠 아카데미,063-323-2544,전라북도 무주군 무주읍 읍내리 299
한국체대 반딧불 태권도장,063-322-0070,전라북도 무주군 설천면 소천리 790-3번지
신태인 태권도장,571-3838,전라북도 정읍시 신태인읍 신태인리 228-32번지 새마을금고
용인대 정무태권도장,533-1444,전라북도 정읍시 상동 182-9번지
건국대 동신태권도 체육관,532-9937,전라북도 정읍시 상동 82번지 우미타운아파트 상가 3층 303호
아중파워복싱,063-247-1156,전라북도 전주시 덕진구 우아동2가 875-2번지 3층
용인대 현대태권도,063-275-7755,전라북도 전주시 덕진구 송천동1가 우림아파트 상가 2층
온고을 태권도장,063-278-9222,전라북도 전주시 덕진구 송천동2가 1299-3번지
블랙벨트월드 태권도체육관,063-288-8383,전라북도 전주시 완산구 동서학동 290-3번지 거산황궁아파트 상가2동201호(2층)
한양대 전북 체육관,063-243-1419,전라북도 완주군 소양면 황운리 645-7번지
블로우핏,291-3952,전라북도 완주군 삼례읍 삼례리 1407-20번지
이서태권도장,222-6201,전라북도 완주군 이서면 상개리 538번지
삼례종합체육관,291-1112,전라북도 완주군 삼례읍 삼례리 898-7번지
완주체육관,262-5574,전라북도 완주군 고산면 읍내리 173-2번지
삼례경희대태권도,291-7072,전라북도 완주군 삼례읍 삼례리 307-1
케이탑태권도,241-9303,전라북도 완주군 봉동읍 장기리 273 봉동2차 명진로얄아파트 201호
코리아태권도체육관,246-0043,전라북도 전주시 덕진구 인후동1가 849-7번지
백마체육관,063-245-6800,전라북도 전주시 덕진구 인후동1가 574 선변@상가 301호
비호태권도체육관,063-242-2214,전라북도 전주시 덕진구 인후동1가 755-9번지
경희대부부태권도체육관,229-3033,전라북도 전주시 완산구 평화동1가 734-6번지
태권도 장수체육관,063-351-3377,전라북도 장수군 장수읍 장수리 477번지
용인대태권도 청우체육관,063-243-2242,전라북도 전주시 덕진구 호성동1가 829-4번지 진흥더불파크@ 상가304호
정호 태권도교육관,246-5622,전라북도 전주시 덕진구 인후동1가 850-10번지 (3층)
원광태권도체육관,063-237-4004,전라북도 전주시 완산구 삼천동1가 585-3번지 세경아파트 상가동 302호
명지 검도관,063-274-0090,전라북도 전주시 덕진구 송천동1가 395-23번지
이지태권도,285-4636,전라북도 전주시 덕진구 덕진동2가 694-3 리더빌딩 201호
전인태권도교육관,211-7208,전라북도 전주시 덕진구 동산동 707-5번지
라이온 태권도장,278-9889,전라북도 전주시 완산구 효자동2가 1313-9번지 202호
스타 체육관,214-7330,전라북도 전주시 완산구 중앙동2가 25번지
용인대 미래 태권도,063-241-0901,전라북도 전주시 덕진구 인후동1가 951-2번지 제일2차@ 상가 202호
시드니 킴스 태권도 아카데미,229-8261,전라북도 전주시 완산구 효자동3가 1609-15번지
정읍유도교실,063-537-2648,전라북도 정읍시 수성동 960-14
국일체육관,531-1609,전라북도 정읍시 칠보면 시산리 587-3
승일 체육관,063-247-3764,전라북도 전주시 덕진구 호성동1가 731-4번지 신동아1차@ 203호
용인대지곡태권도스쿨,225-2242,전라북도 전주시 완산구 평화동2가 893-3번지
동인태권도 예절관,063-245-1795,전라북도 전주시 덕진구 호성동1가 902번지
강호체육관,532-7718,전라북도 정읍시 장명동 140-6
한백태권도장,532-0385,전라북도 정읍시 상동 83-2번지
초원체육관,535-4470,전라북도 정읍시 연지동 259-47
도담 태권도,227-8580,전라북도 전주시 완산구 평화동2가 712-8 상가동 301호
이루 태권도,063-226-4336,전라북도 전주시 완산구 삼천동1가 667-5번지
중앙태권도,232-1050,전라북도 전주시 완산구 경원동2가 28-1번지
경희대 올림픽태권도 체육관,273-4585,전라북도 전주시 완산구 서신동 961번지 한일동아아파트상가 201호
우석대 태권도교육관,225-2828,전라북도 전주시 완산구 중화산동2가 256번지 우성아파트상가 1동 203호
용인대사랑태권도장,227-5452,전라북도 전주시 완산구 삼천동1가 722-2번지 삼천하이츠아파트상가 107동 202호
경희대 문무 태권도장,063-225-6004,전라북도 전주시 완산구 효자동1가 662-5번지 2층
용인대스타태권도,063-274-6669,전라북도 전주시 덕진구 송천동1가 382-1 벽란도
경희대석사태권도장,229-1472,전라북도 전주시 완산구 효자동2가 1313-5번지 3층 301호
효경석사태권도,227-8850,전라북도 전주시 완산구 중화산동2가 616-15번지
김지영복싱GYM,255-2212,전라북도 전주시 완산구 서신동 964-3번지 완풍빌딩 6층
신창용 태권도교실,274-1177,전라북도 전주시 완산구 서신동 963-3번지 2층
동아 블랙벨트 태권도장,246-6788,전라북도 전주시 덕진구 인후동1가 1033번지 위브어울림아파트 후문 상가
국가대표 비전 서남 태권도장,271-6370,전라북도 전주시 완산구 서신동 764-1번지 남양대명아파트상가 110동 202호
무궁화검도관,247-2727,전라북도 전주시 덕진구 호성동1가 785-4번지
승리 태권도체육관,063-253-0588,전라북도 전주시 덕진구 송천동2가 1272번지
화산체육관,287-7651,전라북도 전주시 완산구 중화산동2가 44-6번지
용인대박사청룡태권도,063-236-8886,전라북도 전주시 완산구 효자동3가 1667-7번지
참피온복싱,063-225-8185,전라북도 전주시 완산구 효자동2가 202-2번지
용인대 박사 태권도장,063-285-8850,전라북도 전주시 완산구 중노송동 722-9번지 (1층)
용인대우리태권도장,063)244-7700,전라북도 전주시 덕진구 인후동1가 588-5번지
한국경호송천수련원,063-255-5711,전라북도 전주시 덕진구 송천동2가 212-1번지 4층
리라태권도,063-252-4288,전라북도 전주시 덕진구 송천동1가
라이온 태권도,288-9889,전라북도 전주시 덕진구 중동 778-2번지
경희대 비트짐 태권도,063-283-7788,전라북도 전주시 완산구 효자동2가 1317-5번지
관우검도관,252-3332,전라북도 전주시 덕진구 송천동1가 137-69번지
승일 태권도체육관,063-212-0340,전라북도 전주시 덕진구 여의동 669번지 제일아파트 상가 3동 201호
고려대 해성체육관,272-5096,전라북도 전주시 덕진구 송천동2가 277-1번지 3층
용인대 블랙벨트 태권도장,063-271-6674,전라북도 전주시 완산구 효자동3가 1473-3번지
해동검도전주본관,063-254-0790,전라북도 전주시 덕진구 진북동 434-84번지
T-Master 연화태권도장,063-243-6691,전라북도 전주시 덕진구 우아동2가 875-1
용인대 오륜태권도,222-7206,전라북도 전주시 완산구 평화동2가 230-68번지
궁전 태권도교육관,221-9555,전라북도 전주시 완산구 평화동2가 943번지 상가2층 203호
덕일체육관,063-272-6003,전라북도 전주시 덕진구 덕진동2가 120-7번지
화랑체육관,063-642-3165,전라북도 임실군 임실읍 이도리 696-3
경희대 서곡 태권도장,273-6655,"전라북도 전주시 완산구 효자동3가 1483-1번지 청솔아파트상가 3-8, 3-9호"
중산상무태권도,224-7849,전라북도 전주시 완산구 중화산동2가 406-15번지 4층
지인회태권도장,063-254-7171,전라북도 전주시 덕진구 진북동 1024-13
호남종합체육관,063-254-0327,전라북도 전주시 덕진구 진북동 361-1
대한유도관,063-277-3949,전라북도 전주시 덕진구 송천동1가 258-9번지
효자체육관,063-222-8380,전라북도 전주시 완산구 효자동1가 636-1번지 상가2층4호
보라태권도,252-6540,전라북도 전주시 완산구 서신동 798-10
우슈체육관,06-253-2508,전라북도 전주시 덕진구 우아동3가 594-10번지
전북체육관,063-251-2930,전라북도 전주시 덕진구 인후동2가 236-18번지
숭의검도관,063-224-8111,전라북도 전주시 덕진구 호성동1가 792-2번지
태권도덕진체육관,063-254-5231,전라북도 전주시 덕진구 덕진동1가 1275-15번지
천지태권도체육관,063-251-2356,전라북도 전주시 덕진구 송천동2가 565-4번지
부영체육관,0632455355,전라북도 전주시 덕진구 인후동1가 805-2번지
경희대 대영 태권도장,063-242-9085,전라북도 전주시 덕진구 인후동1가 918-1번지 부영6차 상가 301호
한들태권도체육관,226-3564,전라북도 전주시 완산구 중화산동2가 817-7번지
올바른 성장 태권도,063-245-1795,전라북도 전주시 덕진구 우아동3가 594-23번지
박원규 복싱클럽,063-228-1194,전라북도 전주시 완산구 효자동1가 547번지
한국 태권도장,222-2372,전라북도 전주시 완산구 삼천동1가 290-8
무궁화JUPLISH유도관,255-6505,전라북도 전주시 완산구 서신동 281-61번지
세기태권도전문체육관,063-242-5484,전라북도 전주시 덕진구 인후동1가 890-1번지
언더독 복싱,063-228-7808,전라북도 전주시 완산구 효자동3가 1534-5
슈퍼스타 태권도,063-225-9855,전라북도 전주시 완산구 효자동2가 1313-4번지
승일 점프 스쿨,063-214-3764,전라북도 전주시 덕진구 우아동3가 744-4번지
라이온태권도(에코시티점),063-909-3075,전라북도 전주시 덕진구 송천동2가 1309번지 에코시티 데시앙 5블럭
현대석사태권도,063-212-0638,전라북도 전주시 덕진구 반월동 234-144번지 대창하이빌 상가
드림태권도,063-227-3617,전라북도 전주시 완산구 효자동2가 93-1번지
경희대 박사 태권도,0632746691,전라북도 전주시 덕진구 금암동 1559-1번지 2층
정환 검도관,063-253-3339,전라북도 전주시 덕진구 덕진동2가 675-5번지 3층
혁신이지태권도전주본관,063-223-6123,전라북도 전주시 덕진구 중동 775-3
계백태권도체육관,241-9225,전라북도 전주시 덕진구 호성동1가 732-1번지 402호
엘리트 체육관,252-4523,전라북도 전주시 완산구 서신동 761-1번지 광진아파트상가 2동 203호
상무태권도체육관,063-245-7849,전라북도 전주시 덕진구 인후동1가 890-3번지 상가 108동 202호
승일태권도장,063-245-7736,전라북도 전주시 덕진구 인후동1가 855-3번지
한국체대 박사 태권도체육관,063-255-0244,전라북도 전주시 덕진구 진북동 434-48번지 2층
용인대 나라찬 태권도,237-1881,전라북도 전주시 완산구 평화동2가 909-1번지
경희대 현승태권도,221-5960,전라북도 전주시 완산구 삼천동1가 734-1번지
용인체육관,063-243-3379,전라북도 전주시 덕진구 우아동2가 558-11번지
영웅검도관,063-229-1980,전라북도 전주시 완산구 효자동2가 1319-4
한울태권도,283-8578,전라북도 전주시 덕진구 인후동1가 918-1
금강 태권도,277-5686,전라북도 전주시 완산구 서신동 954-2번지
태권도 골든로드,244-2226,전라북도 전주시 덕진구 인후동1가 904-1번지
삼정검도관,247-1199,전라북도 전주시 덕진구 인후동1가 920-5번지
완산제 검도관,229-6376,전라북도 전주시 덕진구 우아동2가 561-7 윤현빌딩
용인대 비상 태권도장,236-7714,전라북도 전주시 완산구 삼천동1가 288-9번지 신정빌딩 305호
신양테마파크,222-0029,전라북도 전주시 완산구 삼천동1가 284-7 3층
한국부부태권도,211-8999,전라북도 전주시 덕진구 반월동 382번지 남양@상가2층
국기태권도장 제1관,273-0577,전라북도 전주시 완산구 서신동 819-7번지 2층
봉영검도관,063-212-4111,전라북도 전주시 덕진구 반월동
용인대 마스터 태권도 -아중본관-,063-908-7575,전라북도 전주시 덕진구 인후동1가 919-6번지
챔피온체육관,063-251-6763,전라북도 전주시 덕진구 금암동 195-4번지
언약체육관,063-246-1118,전라북도 전주시 덕진구 우아동3가 1102-6번지
인후태권도,063-241-7282,전라북도 전주시 덕진구 인후동1가 756-30번지
경희대 에이스 태권도장,222-5898,전라북도 전주시 완산구 삼천동1가 289-18번지
영웅체육관,063-253-3607,전라북도 전주시 덕진구 송천동1가 472-4번지
진정식복싱클럽,063-254-1277,전라북도 전주시 덕진구 송천동1가 107-179번지
에이스검도관,063-277-5080,전라북도 전주시 완산구 평화동2가 184-32번지
파워복싱,063-251-1156,전라북도 전주시 완산구 서신동 797
효경석사태권도,063-241-7944,전라북도 전주시 덕진구 호성동1가 863-37번지 3층
전주혁신검도관,063-223-0302,전라북도 전주시 덕진구 중동 777-3번지
경희대 K-TOP 태권도,063-222-6875,전라북도 전주시 완산구 효자동3가 1609-15
강산체육관,063-251-7606,전라북도 전주시 덕진구 송천동1가 117번지 우림상가지하2호
신영태비태권도,063-226-0201,전라북도 전주시 완산구 평화동2가 894-2번지
용인대완산유도관,063-284-6565,전라북도 전주시 완산구 평화동2가 184-31번지
해동종합무술원,227-8822,전라북도 전주시 완산구 평화동2가 892-3번지
VIP태권도,221-5898,전라북도 전주시 완산구 평화동2가 514-5번지
원성태권도장,"555-0741,",충청남도 천안시 동남구 원성동 216-38번지
태권멘토스쿨,621-6661,충청남도 천안시 서북구 두정동 660번지 라이프종합상가 307호
상무태권도체육관,552-1122,충청남도 천안시 서북구 두정동 1063번지 레몬타워 405호
나래체육관,041-932-1800,충청남도 보령시 명천동 340-7번지 2층
용인대마스터태권도장,041-934-9375,충청남도 보령시 신흑동 1906번지
활인.우슈.태극권연수원,041-575-3547,충청남도 천안시 동남구 봉명동 32-1번지 (3층)
천안 중앙 태권도,582-0613,충청남도 천안시 서북구 성환읍 성환리 449-36번지 1동 3층
대성체육관,574-3031,충청남도 천안시 동남구 봉명동 62-21번지
한얼태권도체육관,041-578-9808,충청남도 천안시 서북구 쌍용동 1363-1번지 선경해누리아파트 상가 B05호
신용태권도,573-9600,충청남도 천안시 동남구 신방동 887번지 학산배학빌딩3층
충무체육관,041-558-8953,충청남도 천안시 서북구 두정동 1143번지 유정빌딩201호
우리아이태권도장,552-1255,충청남도 천안시 서북구 불당동 734번지
백호 태권도,572-4528,충청남도 천안시 서북구 성정동 412번지 데오스빌딩 302호
용인대챔피온태권도,041-554-6502,충청남도 천안시 서북구 두정동 664번지 골드프라자4층
하늘태권도,041-523-3533,"충청남도 천안시 서북구 성거읍 송남리 15-3 지하층,3층,"
세계로태권도체육관 2관,041-562-0288,충청남도 천안시 동남구 신부동 543번지 신비프라자 501호
신광수태권도체육관,557-57150,충청남도 천안시 동남구 목천읍 신계리 422번지 동우아파트상가5층
BEST복싱다이어트,522-8255,충청남도 천안시 서북구 백석동 858번지 거성캐슬 501호
보령검도관,932-7733,충청남도 보령시 동대동 1905번지
보령성인태권도아카데미,041-934-8223,충청남도 보령시 대천동 183-8번지
Y복싱클럽,041-931-0110,충청남도 보령시 대천동 289
원 복싱짐,041-935-7111,충청남도 보령시 명천동 396-1번지
벽산 경희 예 한얼태권도,553-9808,충청남도 천안시 동남구 청당동 440번지 벽산블루밍@상가503호
경희대 신화태권도,041-523-0201,충청남도 천안시 서북구 두정동 1761번지 3층
용인대 챔피온 태권도 (1관),554-6503,충청남도 천안시 서북구 두정동 981번지 2층
특사 효 태권도,900-7005,충청남도 천안시 서북구 성환읍 성환리 373-60 2층
황실태권도체육관,565-3088,충청남도 천안시 동남구 신부동 684번지
서당체육관,552-2553,충청남도 천안시 서북구 불당동 788번지 한성필하우스 702동 상가B01호
최강두리 태권도장,041-554-5755,"충청남도 천안시 서북구 두정동 526-1번지 외2필지 극동늘푸른아파트 상가동 301,302호"
경희체육관,575-0793,충청남도 천안시 서북구 성정동 653-1번지
용인대 성도체육관,555-3161,충청남도 천안시 동남구 원성동 431-2번지
한국유도관,568-4475,충청남도 천안시 동남구 신부동 666번지 지하층
추부태권도장,041-752-7918,충청남도 금산군 추부면 마전리 424-10번지 추부건물 3층
용인대 수리온태권도,041-557-3335,충청남도 천안시 서북구 두정동 1624번지
아이짐 오성 태권도,041-563-4063,충청남도 천안시 서북구 두정동 579-2번지
단국대 우리태권도장,041-567-7988,충청남도 천안시 서북구 백석동 408번지 3층
천안검도관,561-1991,충청남도 천안시 서북구 두정동 1629 영타운 4층
SM태권도,041-578-1713,"충청남도 천안시 서북구 와촌동 173 신동아파밀리에 상가동 201,202,203,204호"
최강튼튼태권도,574-4494,충청남도 천안시 서북구 쌍용동 499번지 오성빌딩302호
세계로체육관,562-0288,충청남도 천안시 동남구 신부동 569번지
정무태권도체육관,557-5704,충청남도 천안시 동남구 목천읍 서리 45-9
입장 청룡태권도장,561-9161,충청남도 천안시 서북구 입장면 하장리 81-10번지 3층
신경식검도교실,575-5003,충청남도 천안시 서북구 백석동 871 현대빌딩 지하 101호
호랑이태권도,578-0070,충청남도 천안시 서북구 쌍용동 1542번지 501호
